395,29,84.2,34.1,93.4
396,16,60.8,16,60.8
397,21,69.8,21,69.8
398,8,46.4,8,46.5
399,17,62.6,17,62.6
400,22.5,72.5,24.7,76.5
401,31,87.8,40.7,105.3
402,34,93.2,45.3,113.6
403,29.6,85.3,34,93.2
404,28,82.4,32.1,89.8
405,18,64.4,18,64.4
406,11,51.8,9.5,49.2
407,29,84.2,35,95.1
408,26,78.8,29.8,85.7
409,10.9,51.6,11.2,52.2
410,19.5,67.1,19.5,67.1
411,13,55.4,13,55.3
412,10,50,10.1,50.2
413,32.3,90.1,31.6,88.9
414,26,78.8,29.5,85.1
415,16,60.8,16,60.8
416,24.1,75.4,26.2,79.2
417,22.6,72.7,24.7,76.5
418,15.8,60.4,15.8,60.4
419,27,80.6,31.2,88.1
420,28,82.4,32.7,90.9
421,17.1,62.8,17.1,62.8
422,16,60.8,16,60.8
423,25,77,27.7,81.8
424,27,80.6,30,86.1
425,14,57.2,14.6,58.2
426,21,69.8,21,69.8
427,20.2,68.4,20.2,68.4
428,20.8,69.4,20.8,69.4
429,27.1,80.8,27.6,81.7
430,25,77,28.1,82.6
431,17,62.6,17,62.6
432,31,87.8,41.9,107.4
433,25,77,26.9,80.5
434,14,57.2,13.5,56.2
435,26.6,79.9,27.2,81
436,14,57.2,12.8,55
437,32.5,90.5,37.1,98.8
438,26,78.8,28.4,83
439,29,84.2,34.2,93.6
440,17.5,63.5,17.5,63.5
441,28,82.4,29.9,85.9
442,30,86,40.4,104.8
443,24.6,76.3,26.9,80.4
444,17.8,64,17.8,64
445,18,64.4,18,64.4
446,10.5,50.9,10.3,50.5
447,13,55.4,13.6,56.4
448,26,78.8,28.7,83.7
449,18,64.4,18,64.4
450,14,57.2,13.8,56.8
451,25,77,27.6,81.7
452,25,77,27.2,81
453,19,66.2,19,66.2
454,14,57.2,13.3,56
455,26,78.8,29.5,85
456,26,78.8,26.7,80
457,29,84.2,35.2,95.4
458,25,77,27.9,82.2
459,27,80.6,30.6,87.1
460,25,77,27.4,81.2
461,28,82.4,32.5,90.5
462,27.7,81.9,29.6,85.3
463,20,68,20,68
464,29,84.2,36.2,97.1
465,15,59,15.7,60.2
466,10.2,50.4,7.8,46
467,29,84.2,30.4,86.8
468,24,75.2,25.7,78.2
469,23,73.4,24,75.2
470,31,87.8,29.8,85.6
471,13,55.4,12.8,55.1
472,25,77,25.6,78.1
473,20,68,20,68
474,32,89.6,44,111.2
475,30,86,34.2,93.6
476,24,75.2,24.9,76.8
477,8,46.4,4.8,40.6
478,17,62.6,17,62.6
479,29.1,84.4,33.6,92.5
480,34.7,94.5,36.2,97.2
481,15.5,59.9,15.5,59.9
482,20.6,69.1,20.6,69.1
483,19,66.2,19,66.2
484,27,80.6,29.5,85.2
485,10.6,51.1,11,51.8
486,26,78.8,29.6,85.3
487,25,77,28.5,83.3
488,16,60.8,16,60.8
489,19,66.2,19,66.2
490,10,50,9.3,48.7
491,13,55.4,11.9,53.5
492,13,55.4,12.2,54
493,26,78.8,30,85.9
494,26,78.8,29.1,84.4
495,26,78.8,28.2,82.8
496,24,75.2,25.6,78.1
497,31,87.8,39.5,103
498,26.3,79.3,29.4,84.9
499,21,69.8,21,69.8
500,24,75.2,24.5,76.2
501,29,84.2,33.6,92.4
502,19.7,67.5,19.7,67.5
503,20,68,20,68
504,10,50,8.8,47.9
505,19,66.2,19,66.2
506,18,64.4,18,64.4
507,17,62.6,17,62.6
508,25.5,77.9,28.8,83.8
509,16,60.8,16,60.8
510,23,73.4,25,77
511,22,71.6,24.5,76.1
512,13,55.4,11.6,52.9
513,14,57.2,11.4,52.5
514,34,93.2,48.3,119
515,24,75.2,25.7,78.2
516,24,75.2,26.8,80.2
517,20.1,68.2,20.1,68.2
518,19,66.2,19,66.2
519,13,55.4,13.2,55.8
520,29,84.2,35.5,95.8
521,25.7,78.3,26.6,79.9
522,29,84.2,35,95.1
523,31.1,88,31.5,88.7
524,30,86,39,102.3
525,27,80.6,28.6,83.5
526,29.2,84.6,28.9,84
527,18.7,65.7,18.7,65.7
528,25,77,27.5,81.6
529,16,60.8,16,60.8
530,19,66.2,19,66.2
531,34,93.2,42.3,108.1
532,20,68,20,68
533,13,55.4,12.6,54.7
534,20,68,20,68
535,29,84.2,34.3,93.7
536,28,82.4,32.3,90.2
537,28.9,84,34.1,93.4
538,29,84.2,34.4,93.8
539,17,62.6,17,62.6
540,11,51.8,9.9,49.9
541,31,87.8,30.2,86.4
542,27,80.6,30.5,86.8
543,16,60.8,16,60.8
544,26,78.8,28.4,83.2
545,27,80.6,31.3,88.4
546,28,82.4,31.9,89.5
547,15,59,14.8,58.7
548,14,57.2,14.7,58.4
549,28,82.4,34.4,93.8
550,24.2,75.6,26.3,79.3
551,13,55.4,12.9,55.2
552,22,71.6,24.5,76.1
553,20.9,69.6,20.9,69.6
554,21,69.8,21,69.8
555,26,78.8,29.2,84.6
556,28.7,83.7,29.7,85.5
557,29,84.2,35.5,96
558,11,51.8,10.1,50.2
559,13,55.4,12.7,54.8
560,23,73.4,24.5,76
561,24,75.2,24.5,76.1
562,18.9,66,18.9,66
563,27,80.6,31.4,88.6
564,20.8,69.4,20.8,69.4
565,22.8,73,24.4,75.9
566,26,78.8,27.6,81.7
567,29,84.2,37.4,99.4
568,24,75.2,25.8,78.4
569,21,69.8,21,69.8
570,19,66.2,19,66.2
571,33,91.4,46,114.8
572,20,68,20,68
573,15.8,60.4,15.8,60.4
574,33,91.4,39.9,103.8
575,13,55.4,13.2,55.8
576,26.7,80.1,26.4,79.5
577,15,59,14.6,58.2
578,19,66.2,19,66.2
579,28,82.4,33.7,92.6
580,30,86,38,100.5
581,25,77,27,80.5
582,17.8,64,17.8,64
583,15.1,59.2,15.1,59.2
584,11.2,52.2,9.8,49.6
585,19.2,66.6,19.2,66.6
586,17,62.6,17,62.6
587,22,71.6,24.6,76.2
588,8.1,46.6,8.1,46.6
589,21,69.8,21,69.8
590,29,84.2,33.9,93.1
591,12,53.6,11,51.7
592,24,75.2,25.2,77.4
593,11,51.8,9.5,49.2
594,16,60.8,16,60.8
595,23,73.4,24.9,76.8
596,31,87.8,42.6,108.7
597,34,93.2,41.7,107.1
598,28.2,82.8,33.1,91.6
599,28,82.4,31.4,88.6
600,13,55.4,12.3,54.2
601,14,57.2,13.6,56.4
602,30,86,37.3,99.2
603,26,78.8,29.6,85.2
604,12.3,54.1,12.3,54.1
605,10.8,51.4,10.8,51.4
606,16,60.8,16,60.8
607,12,53.6,11.3,52.4
608,32.6,90.7,32.6,90.7
609,28,82.4,34.1,93.4
610,13,55.4,13.6,56.4
611,27.3,81.1,29.4,84.9
612,19.7,67.5,19.7,67.5
613,18.7,65.7,18.7,65.7
614,28,82.4,33.7,92.6
615,27,80.6,30.4,86.8
616,18.5,65.3,18.5,65.3
617,20,68,20,68
618,20.9,69.6,20.9,69.6
619,28,82.4,29.8,85.6
620,16,60.8,16,60.8
621,21,69.8,21,69.8
622,18.4,65.1,18.4,65.1
623,24,75.2,25.9,78.5
624,26.2,79.2,26.7,80.1
625,23,73.4,25.3,77.5
626,14,57.2,14.7,58.4
627,31,87.8,43.6,110.5
628,24,75.2,25.8,78.5
629,12,53.6,10.7,51.2
630,25.9,78.6,26.4,79.5
631,13,55.4,11.8,53.3
632,35,95,43,109.4
633,29,84.2,33.9,93
634,29,84.2,35.6,96
635,14.3,57.7,14.2,57.6
636,26,78.8,27.7,81.8
637,32,89.6,46.3,115.3
638,25,77,27.6,81.7
639,16.9,62.4,16.9,62.4
640,14,57.2,13.9,57
641,13.8,56.8,13.2,55.8
642,11.8,53.2,12.4,54.3
643,28,82.4,32.9,91.3
644,16,60.8,16,60.8
645,18,64.4,18,64.4
646,24.6,76.3,26.9,80.4
647,26,78.8,28.4,83.2
648,23,73.4,24.9,76.9
649,12,53.6,10.6,51.1
650,26,78.8,29.3,84.7
651,26,78.8,27,80.5
652,29,84.2,34.7,94.4
653,21,69.8,21,69.8
654,28,82.4,32.9,91.1
655,26,78.8,29,84.1
656,25,77,27.1,80.8
657,33,91.4,43.4,110
658,20,68,20,68
659,27,80.6,29.1,84.4
660,13,55.4,13,55.3
661,10.8,51.4,8.4,47.1
662,29,84.2,30.3,86.6
663,24,75.2,25.6,78.1
664,25,77,24.8,76.7
665,31,87.8,29.5,85.1
666,15,59,15.4,59.8
667,26,78.8,26.5,79.6
668,20,68,20,68
669,31,87.8,40.3,104.5
670,29,84.2,32,89.5
671,26,78.8,26.5,79.6
672,10,50,7.7,45.8
673,17,62.6,17,62.6
674,28.9,84,33.6,92.5
675,34.6,94.3,35.1,95.2
676,12.6,54.7,12.9,55.2
677,17.7,63.9,17.7,63.9
678,16,60.8,16,60.8
679,28,82.4,30.9,87.5
680,12.3,54.1,11.6,52.9
681,25,77,27.8,82.1
682,24,75.2,26.9,80.4
683,16,60.8,16,60.8
684,13,55.4,12.4,54.3
685,13,55.4,12.4,54.4
686,12,53.6,11.2,52.2
687,18.1,64.6,18.1,64.6
688,25,77,28.3,82.9
689,28,82.4,32.2,90
690,25,77,27.2,81
691,23,73.4,25,77
692,27,80.6,29.7,85.5
693,28,82.4,32.5,90.5
694,22,71.6,24.6,76.2
695,17,62.6,17,62.6
696,30,86,35.4,95.6
697,14.8,58.6,15.5,59.9
698,20,68,20,68
