336,263.7,57.2,32.6,36.2,35.7,67.3,2,3
337,250.3,50.8,4.5,0.8,12.4,13.4,1,2
338,377.2,0,24.7,13.8,16.4,20.3,2,2
339,680.9,20.2,8.1,1.3,31.5,46.4,2,3
340,250.3,16.1,0.4,0.2,3.2,8.3,1,1
341,208.6,22.2,0.1,0.2,2.7,5.7,1,1
342,267,18.6,0.2,0.1,2.5,5.9,1,1
343,185.3,52.9,0.2,0.3,3,13,1,1
344,237,54.4,3.8,1,2.6,2.9,1,1
345,297.1,34.3,23.7,6.6,9.8,12.8,1,1
346,190.3,98.7,5.1,19.3,71.6,375,4,10
347,263.7,34.3,0.6,0.4,4.3,5,1,1
348,273.7,20,7.5,1,19.2,20.8,2,2
349,193.6,54.4,0.2,0.6,6.2,10,1,1
350,347.1,21.3,0.5,0.1,1.2,1.8,1,1
351,694.3,1.3,32.9,32.4,10.5,12.6,1,1
352,213.6,47.2,3.1,0.8,2.6,3,1,1
353,203.6,41.8,2.3,0.9,2.3,2.6,1,1
354,196.9,36.1,1.2,1,1,1.2,1,1
355,191.9,34.7,0.1,0.3,10.4,18,1,1
356,367.2,46.5,5.1,8,9.4,16.8,1,1
357,654.2,47.2,80.9,37.2,65.2,70.5,3,9
358,253.7,14.8,0.3,0.1,8.9,22.2,1,1
359,253.7,30.8,17.1,0.3,1.4,2.4,1,1
360,270.4,26.1,9.3,3.8,2.4,4.8,1,1
361,287.1,33.3,0.8,0.5,10.7,31.6,1,1
362,287.1,23.3,0.1,0.1,2,7.3,1,1
363,213.6,47.9,8.7,6.2,5.7,7.2,1,1
364,210.3,28.6,7.4,1.9,5.9,6.4,1,1
365,267,25,12,4.2,16.6,28.4,2,2
366,188.6,44.7,1.7,2.2,1.6,2.7,1,1
367,263.7,40.1,0.5,0.2,3.3,4.4,1,1
368,1014.7,2.9,23.7,24.8,16,34.3,2,2
369,507.4,66.5,5.7,5.1,22.7,36.7,2,2
370,250.3,61.5,1.1,0.3,5.7,6,1,1
371,193.6,74.4,0.2,0.5,2,10.6,1,1
372,270.4,5.4,8.4,0.9,0.7,1.1,1,1
373,220.3,30,2.6,0.6,5.2,14.4,1,1
374,350.5,4.9,30.2,7.6,13,14.9,1,2
375,240.3,85.8,1.8,1.2,9,25.4,1,1
376,166.9,11,0,0.1,1.7,7.3,1,1
377,554.1,4,3.7,0.8,33.7,48.5,2,3
378,210.3,49.4,1.7,1.8,4.1,4.9,1,1
379,240.3,77.3,13.2,9.3,32.9,81.7,2,3
380,247,50.8,8.7,5.1,3.4,6.1,1,1
381,168.6,60.1,1.2,0.6,0.6,0.7,1,1
382,307.1,25.4,6,3.4,3.3,6.1,1,1
383,474,10.4,43.9,5.1,6.3,11.4,1,1
384,181.9,62.9,0,0.1,2.7,6.7,1,1
385,487.3,23.6,23,28.4,8.5,11.1,1,1
386,654.2,75.8,14.1,8.7,35,48.8,2,3
387,230.3,41.8,21.8,39.6,26.9,65.8,2,3
388,988,43.6,4.2,4,7.3,12.7,1,1
389,270.4,36.8,3.5,5.4,6.6,8.6,1,1
390,754.4,46.5,6.4,0.4,7.7,12.8,1,1
391,201.9,72.2,1.1,1.1,4.2,7.8,1,1
392,223.6,81.5,5.9,1.9,1.9,4.5,1,1
393,153.5,27.2,1.6,0.1,1,1.3,1,1
394,587.5,66.5,2.8,2.5,8.9,20.8,1,1
395,195.3,25.4,0.8,0.8,4.5,8.1,1,1
396,350.5,42.6,12.9,3.2,10.8,13,1,1
397,195.3,20.6,2.6,0.2,1.6,1.8,1,1
398,210.3,33.6,5.8,0.7,1.1,1.7,1,1
399,212,21.5,8,0.2,2.4,3.5,1,1
400,247,55.8,3.8,1.1,1.9,5.8,1,1
401,403.9,42.2,1.3,1.3,2.5,5.2,1,1
402,247,150.2,0.1,4.6,40.8,75,3,4
403,761,29,23.3,11.9,82.6,88.2,4,10
404,237,21.5,3.3,1.7,5.8,16.4,1,1
405,233.7,52.2,2.6,4.1,7,7.2,1,1
406,263.7,39.3,13.2,1,5.9,10,1,1
407,233.7,11.4,0.2,0.2,1.6,1.7,1,1
408,494,36.1,2.6,1.6,10.9,19.1,1,1
409,360.5,30.8,0.3,0.1,10,10.3,1,1
410,313.8,22.2,1.4,0.4,4.7,5.9,1,1
411,166.9,11.6,1,0.1,1.4,2.3,1,1
412,410.6,40.4,6.3,0.6,26.5,28.4,2,3
413,380.5,40.8,0.3,0.3,2,2.7,1,1
414,277,4.5,4.1,2.5,1.9,2.2,1,1
415,207,13.2,4.6,0.2,6.5,9.5,1,1
416,1188.3,0.9,8.5,2.9,43.6,70.5,3,5
417,894.6,17,7.2,0.9,43.5,86.9,3,5
418,193.6,52.9,0.1,0.1,1.1,2.2,1,1
419,208.6,49.4,0.9,0.2,9.8,12.4,1,1
420,367.2,21.3,3.1,1.6,2.8,7.7,1,1
421,427.3,12.2,1.6,0.3,4.5,7.3,1,1
422,217,31.5,0.4,0,0.5,0.5,1,1
423,297.1,0,0.2,0.1,7.6,8.1,1,1
424,554.1,12.3,1.4,0.7,20.4,30.7,2,2
425,2990.7,3.4,56.2,7.8,180.3,232.6,5,10
426,1121.5,0.2,33.6,38.6,142.2,171.5,4,10
427,267,38.6,3.7,0.3,9.8,11,1,1
428,208.6,41.5,0.4,0.3,2.5,7.9,1,1
429,667.6,32.2,2.2,0.3,17.6,27.1,2,2
430,407.2,65.1,9.2,13.1,20.7,21.7,2,2
431,220.3,24.7,6.3,0.2,4.1,5.2,1,1
432,360.5,28.6,7.2,18.4,5.4,8.5,1,1
433,257,88,0.7,1,26.9,39.5,2,3
434,250.3,19.1,12.2,1.4,6.1,8,1,1
435,667.6,32.2,2.2,0.3,17.6,27.1,2,2
436,260.4,70.1,3.8,1.1,5.2,5.6,1,1
437,277,35.4,1,0.3,13.8,35.1,1,2
438,217,21.6,1.8,0.4,4.3,5.9,1,1
439,774.4,0.2,25,13.5,10.4,14.7,1,1
440,2002.7,40.8,98.7,31.5,31.7,34.5,2,3
441,297.1,39,14.6,8.9,36.5,48.8,2,4
442,413.9,15.4,11.5,10.5,18.7,22.1,2,2
443,420.6,25,0.1,0.1,1,1.5,1,1
444,297.1,37.6,1.2,0.3,32.5,111.8,2,3
445,220.3,33.3,2.1,0.9,7.9,8,1,1
446,440.6,49.4,3.6,1.3,23.6,26.2,2,2
447,4592.9,10.4,10.3,2.6,161,318.1,5,10
448,195.3,50.1,1.4,1.8,4.1,6.4,1,1
449,227,27.2,7.3,2.3,6.9,7.9,1,1
450,293.7,40.4,14.9,1.9,7,10.4,1,1
451,480.7,33.3,1.3,1.5,7.1,12.1,1,1
452,337.1,21.8,0.5,0.2,1.2,1.9,1,1
453,223.6,47.2,1.9,0.6,2.9,3.7,1,1
454,263.7,12.7,23.3,3,7,8.6,1,1
455,440.6,31.5,4.4,5.1,10.2,18.4,1,1
456,237,98.7,4,7.4,8.3,12,1,1
457,260.4,19.7,1.4,0.8,2.5,6.3,1,1
458,1188.3,40.1,30.9,109.7,133.9,141.4,4,10
459,260.4,37.9,0.3,0.1,1.5,4.7,1,1
460,270.4,20,0.8,0.5,2.4,3.6,1,1
